项目,发布时间,供应商（乙方）,法定代表人,联系方式,合同金额（元）
关于业务二科“双一流”建设经费服务的框架协议合同公告,2025-03-17 14:07:31,黄河勘测规划设计研究院有限公司,安新代(男),15003888947,92000.00
关于笔记本电脑的框架协议合同公告,2025-03-17 14:00:13,上海维优电子工程有限公司,徐芸(女),021-53060606,140000.00
上海世赛筹办2025年度新媒体运维服务的合同公告,2025-03-17 13:59:43,上海蒸蒸日上文化传媒有限公司,秦川(男),021-22895126,1835000.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-17 13:36:17,上海予发办公设备有限公司,许大江(男),13918919331,2350.00
关于碎纸机的框架协议合同公告,2025-03-17 13:25:31,上海缘俐实业有限公司,杨顾军(男),13817510969,960.00
关于物业管理服务的框架协议合同公告,2025-03-17 12:58:28,上海上房物业服务股份有限公司,周超(男),18018859053,497280.00
上海理工大学物业管理服务公告,2025-03-17 12:49:50,上海中星集团申城物业有限公司,蔡斌(男),17321237191,6631827.65
关于物业管理服务的框架协议合同公告,2025-03-17 12:42:32,上海明华智慧城市运营管理有限公司,李涛(男),021-20202010,454998.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-17 12:39:02,上海鑫宁电子信息科技有限公司,金自强(男),18939931018,5960.00
政府采购框架协议采购服务合同—教科网接入服务公告,2025-03-17 12:29:19,赛尔网络有限公司,吴建平(男),无,720000.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-17 12:21:50,上海政采数码技术有限公司,章思虹(女),18019277096,82800.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-17 12:20:56,上海政采数码技术有限公司,章思虹(女),18019277096,37500.00
关于资产评估服务的框架协议合同公告,2025-03-17 11:57:39,上海信达资产评估有限公司,韩世新(男),021-56164364,3000.00
关于台式整机的框架协议合同公告,2025-03-17 11:49:38,上海维优电子工程有限公司,徐芸(女),021-53060606,6000.00
关于笔记本电脑的框架协议合同公告,2025-03-17 11:46:45,上海维优电子工程有限公司,徐芸(女),021-53060606,80000.00
关于台式整机的框架协议合同公告,2025-03-17 11:45:24,上海维优电子工程有限公司,徐芸(女),021-53060606,12000.00
关于打印/复印纸的框架协议合同公告,2025-03-17 11:33:34,上海晨光科力普办公用品有限公司,陈湖文(男),02160873572,1794.00
关于会计审计的框架协议合同公告,2025-03-17 11:23:12,上海上审会计师事务所有限公司,潘久文(男),021-23119466,99120.00
关于碎纸机的框架协议合同公告,2025-03-17 11:22:24,史泰博（上海）有限公司,张潮涌(男),无,1959.00
关于打印/复印纸的框架协议合同公告,2025-03-17 11:20:51,史泰博（上海）有限公司,张潮涌(男),无,3699.20
关于笔记本电脑的框架协议合同公告,2025-03-17 11:18:21,上海维优电子工程有限公司,徐芸(女),15821226221,60000.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-17 11:12:42,伊俐（上海）实业有限公司,金旦(女),021-68546655,33900.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-17 11:12:03,伊俐（上海）实业有限公司,金旦(女),021-68546655,25000.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-17 11:11:20,伊俐（上海）实业有限公司,金旦(女),021-68546655,150000.00
交通标志标线抢修养护及应急处置监理的合同公告,2025-03-17 11:07:46,上海皓镡建设工程管理有限公司,徐炜皓(男),021-53013661,3600000.00
关于其他印刷服务的框架协议合同公告,2025-03-17 11:07:42,上海华教印务有限公司,夏洁成(男),13917182345,116264.00
关于其他印刷服务的框架协议合同公告,2025-03-17 11:07:11,上海华教印务有限公司,夏洁成(男),13917182345,130382.00
关于其他印刷服务的框架协议合同公告,2025-03-17 11:05:59,上海华教印务有限公司,夏洁成(男),18918889620,14175.00
上海市市场监督管理局2025年质量监督抽查（儿童及婴幼儿服装、定配眼镜等）项目的合同公告,2025-03-17 11:00:33,中纺标检验认证股份有限公司,李斌(男),021-64220000,324960.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-17 10:59:03,上海港讯电子科技有限公司,李勇勇(男),02160873572,10000.00
关于会计审计的框架协议合同公告,2025-03-17 10:52:08,中汇会计师事务所（特殊普通合伙）上海分所,李宁(男),021-69222507,41000.00
关于互联网信息服务的框架协议合同公告,2025-03-17 10:51:17,中国电信股份有限公司上海分公司,龚勃(男),18001672953,130000.00
关于打印/复印纸的框架协议合同公告,2025-03-17 10:46:17,上海中飞办公设备有限公司,许大山(男),15900968099,5902.00
关于台式整机的框架协议合同公告,2025-03-17 10:46:13,上海至正科技有限公司,胡家明(男),13917713906,46800.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-17 10:35:19,惠教实业（上海）有限公司,韩秀俊(男),021-62388386,5000.00
关于会计审计的框架协议合同公告,2025-03-17 10:31:15,上海众和会计师事务所有限公司,汪本年(男),021-62462627,48000.00
关于投影机的框架协议合同公告,2025-03-17 10:28:09,上海御成数码科技有限公司,陈杨阳(女),021-61655060,7999.00
关于台式整机的框架协议合同公告,2025-03-17 10:27:02,上海凯全实业发展有限公司,吴林生(男),021-57811495,98550.00
上海图书馆（上海科学技术情报研究所）全国智慧图书馆体系建设项目（2024年）（包件2：上海市古籍保护单位古籍数字化整理加工）的合同公告,2025-03-17 10:24:23,北京美斯齐文化科技有限公司,(),021-64455555,298000.00
关于河湖养护审计的框架协议合同公告,2025-03-17 10:23:33,中审众环会计师事务所（特殊普通合伙）上海分所,乔玉湍(男),13917132806,50000.00
关于台式整机的框架协议合同公告,2025-03-17 10:22:09,上海茂源软件科技有限公司,陶学海(男),13901969100,29400.00
关于笔记本电脑的框架协议合同公告,2025-03-17 10:21:00,上海茂源软件科技有限公司,陶学海(男),13901969100,49400.00
关于表格、文头及其他类印刷服务的框架协议合同公告,2025-03-17 10:04:27,上海堰丰实业有限公司,龚传波(男),021-62482645,44426.00
2025年产品质量监督抽查（空气净化器、VR眼镜和无人机、防爆电气、电动工具、家用烹饪电器、家用开关插座）的合同公告,2025-03-17 10:03:16,"浙江方圆检测集团股份有限公司,山东腾翔产品质量检测有限公司",蒋扬名(男),021-64220000,995900.00
食堂服务费的合同公告,2025-03-17 09:57:52,上海冉博餐饮管理有限公司,范纪强(男),021-58167506,1859880.00
2025年产品质量监督抽查（视频监控设备、电子门锁和智能手表、显示器和服务器、地面清洁电器、新能源汽车交流充电桩、吸尘器、皮肤及毛发护理器具、电动剃须刀和电动理发器）的合同公告,2025-03-17 09:49:29,"浙江方圆检测集团股份有限公司,山东腾翔产品质量检测有限公司",蒋扬名(男),021-64220000,865000.00
上海工程技术大学物业管理公告,2025-03-17 09:48:58,上海中星集团申城物业有限公司,蔡斌(男),021-67791477,3278573.86
关于预算绩效评价咨询服务的框架协议合同公告,2025-03-17 09:45:29,上海泰乙税务师事务所（普通合伙）,吴伟民(男),021-22021079,150000.00
关于预算绩效评价咨询服务的框架协议合同公告,2025-03-17 09:41:21,汉华评值（上海）资产评估有限公司,孔令迪(女),021-22021079,100000.00
上海工程技术大学物业管理公告,2025-03-17 09:35:29,上海生乐物业管理有限公司,虞宏峰(男),021-67791477,11950809.00
关于预算绩效评价咨询服务的框架协议合同公告,2025-03-17 09:33:56,上海玄钥管理咨询有限公司,吴子明(男),021-22021079,50000.00
2025辅助人员服务采购项目的合同公告,2025-03-17 09:33:28,上海欣亮人力资源有限公司,高一唯(女),15300859868,19839800.00
关于预算绩效评价咨询服务的框架协议合同公告,2025-03-17 09:32:38,上海玄钥管理咨询有限公司,吴子明(男),021-22021144,300000.00
关于预算绩效评价咨询服务的框架协议合同公告,2025-03-17 09:27:32,上海华政一页税务师事务所有限公司,徐方杰(男),021-22021079,150000.00
关于笔记本电脑的框架协议合同公告,2025-03-17 09:26:53,上海一风一影智能办公设备有限公司,张波(男),02167103257,9950.00
物业管理费的合同公告,2025-03-17 09:23:08,上海长佳物业管理有限公司,卢燕(女),021-64743921,3499292.74
关于打印/复印纸的框架协议合同公告,2025-03-17 09:18:50,上海绮馨实业有限公司,李彭飞(男),15026779967,140.00
关于新能源轿车的框架协议合同公告,2025-03-17 08:47:00,上海巴士永达汽车销售服务有限公司,林杰晨(男),13061731800,179900.00
关于新能源轿车的框架协议合同公告,2025-03-17 08:46:23,上海巴士永达汽车销售服务有限公司,林杰晨(男),13061731800,899500.00
新华医院2025年医疗设备（一）公告,2025-03-16 15:26:28,上海钏荣朝钺医疗科技有限公司,管慧珍(女),021-25076570,1494000.00
新华医院2025年医疗设备（一）公告,2025-03-16 15:24:48,上海钏荣朝钺医疗科技有限公司,管慧珍(女),021-25076570,990000.00
新华医院2025年医疗设备（一）公告,2025-03-16 15:19:23,上海钏荣朝钺医疗科技有限公司,管慧珍(女),021-25076570,1390700.00
关于物业管理服务的框架协议合同公告,2025-03-15 21:37:17,上海华茸绿化园艺有限公司,曹颖(女),021-68622000,557620.00
对“基于铌酸锂单晶薄膜的铁电类脑器件与集成”项目验收财务审计合同公告,2025-03-15 11:38:19,上海昊鑫会计师事务所（普通合伙）,黄云芬(女),13370273903,36800.00
2025年产品质量监督抽查（除湿机、干鞋器、学习机（早教机）、平板电脑、电源适配器、消防产品、防火门、电风扇、真空封口机）的合同公告,2025-03-15 11:19:38,上海建科检验有限公司,王冰(男),021-64220000,270000.00
关于上海戒毒杂志印刷服务的框架协议合同公告,2025-03-15 09:46:42,上海画中画包装印刷有限公司,王莉莉(女),021-59800590,179400.00
关于会计审计的框架协议合同公告,2025-03-14 20:45:00,上海同舟会计师事务所（普通合伙）,潘建利(男),18018888516,30000.00
关于河湖养护审计的框架协议合同公告,2025-03-14 18:32:35,上海沪港金茂会计师事务所有限公司,郭纯青(女),13816105750,50000.00
关于制冷空调设备的框架协议合同公告,2025-03-14 17:38:17,上海晨光科力普办公用品有限公司,陈湖文(男),13818594932,11671.00
关于制冷空调设备的框架协议合同公告,2025-03-14 17:37:44,上海晨光科力普办公用品有限公司,陈湖文(男),13818594932,6900.00
关于笔记本电脑的框架协议合同公告,2025-03-14 17:31:38,上海政采数码技术有限公司,章思虹(女),18939854005,8200.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-14 16:58:39,上海由天信息科技有限公司,田静静(女),021-26078989,65900.00
关于台式整机的框架协议合同公告,2025-03-14 16:57:52,上海由天信息科技有限公司,田静静(女),13917713906,47600.00
关于针式打印机的框架协议合同公告,2025-03-14 16:48:42,上海好格电脑软件销售有限公司,徐军英(女),021-69221684,3000.00
关于打印/复印纸的框架协议合同公告,2025-03-14 16:44:22,上海政采数码技术有限公司,章思虹(女),17321038375,4335.00
关于打印/复印纸的框架协议合同公告,2025-03-14 16:43:29,上海咏炜商贸有限公司,王江(男),13564213699,2400.00
上海开放大学学校食堂经营驻场服务的合同公告,2025-03-14 16:39:36,上海学校餐饮服务有限公司,丰帆(女),15902113395,3714876.00
关于资产处打印机的框架协议合同公告,2025-03-14 16:31:59,上海志诚泰和信息技术有限公司,朱雨(男),13917706236,37700.00
关于互联网信息服务的框架协议合同公告,2025-03-14 16:31:16,中国移动通信集团上海有限公司,楼向平(男),13800210021,480000.00
关于笔记本电脑的框架协议合同公告,2025-03-14 16:29:25,上海藏一智能科技发展有限公司,陈贺峰(男),13061723410,10000.00
关于台式整机的框架协议合同公告,2025-03-14 16:28:56,上海藏一智能科技发展有限公司,陈贺峰(男),13061723410,6000.00
关于打印/复印纸的框架协议合同公告,2025-03-14 16:11:17,上海联夏贸易有限公司,夏泽民(男),02132576338,9975.00
关于年报审计的框架协议合同公告,2025-03-14 16:10:51,上海欧柯盟会计师事务所有限公司,俞蕾(女),021-50581672,95000.00
关于河湖养护审计的框架协议合同公告,2025-03-14 16:10:08,上海欧柯盟会计师事务所有限公司,俞蕾(女),021-50581672,50000.00
关于服务器/Server的框架协议合同公告,2025-03-14 16:07:45,上海云远达信息系统科技有限公司,曹金岐(男),021-22880067,59842.00
关于上海中医药大学原研究生院常务副院长刘胜同志离任经济责任审计的框架协议合同公告,2025-03-14 16:03:15,上海财瑞会计师事务所有限公司,李莉(女),15026667187,15000.00
关于上海中医药大学原中药学院党委书记沈岚同志离任经济责任审计的框架协议合同公告,2025-03-14 16:02:29,上海财瑞会计师事务所有限公司,李莉(女),15026667187,15000.00
关于打印/复印纸的框架协议合同公告,2025-03-14 16:01:00,上海政采数码技术有限公司,章思虹(女),18939854005,1320.00
关于河湖养护审计的框架协议合同公告,2025-03-14 16:00:53,上海财瑞会计师事务所有限公司,李莉(女),021-62261357,50000.00
关于显示器的框架协议合同公告,2025-03-14 15:58:02,上海维优电子工程有限公司,徐芸(女),18310038099,1349.00
关于扫描仪的框架协议合同公告,2025-03-14 15:52:04,上海遂乐电子科技有限公司,刘昊炜(男),021-64701576,899.00
关于显示器的框架协议合同公告,2025-03-14 15:52:01,上海政采数码技术有限公司,章思虹(女),18310038099,1800.00
关于制冷空调设备的框架协议合同公告,2025-03-14 15:43:51,上海典秋机电设备有限公司,殷学红(女),18818212721,3950.00
关于新能源轿车的框架协议合同公告,2025-03-14 15:43:02,上海冠众汽车销售服务有限公司,宋斌(男),13641812345,899500.00
关于制冷空调设备的框架协议合同公告,2025-03-14 15:41:14,上海典秋机电设备有限公司,殷学红(女),15000755560,8590.00
关于物业管理服务的框架协议合同公告,2025-03-14 15:34:27,上海凯博物业管理有限公司,毛晨凯(男),021-51102362,430200.00
排水管道专项检测的合同公告,2025-03-14 15:29:02,上海海韵勘设咨询管理有限公司,徐立猛(男),021-55218961,788000.00
关于互联网信息服务的框架协议合同公告,2025-03-14 15:20:45,上海致遥通信技术有限公司,史海洪(女),18001672953,790000.00
关于会计审计的框架协议合同公告,2025-03-14 15:18:49,上海文会会计师事务所有限公司,纪扣英(女),18917618289,20000.00
关于物业管理服务的框架协议合同公告,2025-03-14 15:12:54,上海明华智慧城市运营管理有限公司,李涛(男),13761261537,302880.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-14 15:07:47,上海冠德科贸有限公司,杨江鹏(男),15800338159,1150.00
关于物业管理服务的框架协议合同公告,2025-03-14 15:03:39,上海虹云物业管理有限公司,孟微佳(女),13671593085,960000.00
关于物业管理服务的框架协议合同公告,2025-03-14 15:03:25,上海东湖物业管理有限公司,陈杰(男),13917766071,419400.00
关于台式整机的框架协议合同公告,2025-03-14 14:57:07,上海思懿电子科技有限公司,陈洁(女),13818918657,12000.00
关于台式整机的框架协议合同公告,2025-03-14 14:56:17,上海思懿电子科技有限公司,陈洁(女),13818918657,6000.00
新华医院2025年医疗设备（一）公告,2025-03-14 14:52:43,上海智慧湾科学技术有限公司,陈剑(男),021-25076570,1798000.00
新华医院2025年医疗设备（一）公告,2025-03-14 14:52:06,上海智慧湾科学技术有限公司,陈剑(男),021-25076570,2798000.00
关于打印/复印纸的框架协议合同公告,2025-03-14 14:50:36,上海邦邻智能信息技术发展有限公司,檀丽娟(女),18817836889,7225.00
陈云纪念馆2025年关于文化创意街部分房屋（面馆等4处）资产评估服务的框架协议合同公告,2025-03-14 14:41:37,上海八达国瑞联行资产评估有限公司,赵震磊(男),18117285389,5000.00
关于台式整机的框架协议合同公告,2025-03-14 14:40:21,上海申腾信息技术有限公司,朱闻渊(男),18801853982,119800.00
排水管道专项检测的合同公告,2025-03-14 14:38:18,上海天授市政管道工程有限公司,闫沛(男),021-55218961,799600.00
上海地下空间信息基础平台（2025年升级改造）应用软件公告,2025-03-14 14:29:38,上海博坤信息技术有限公司,郭亨波(男),021-54524500,9800000.00
上海市静安区人民法院特保服务项目的合同公告,2025-03-14 14:20:59,上海静安保安服务有限公司,韦军(男),021-69208391,3219000.00
关于打印/复印纸的框架协议合同公告,2025-03-14 14:20:20,上海予发办公设备有限公司,许大江(男),18310038099,250.00
物业管理服务费的合同公告,2025-03-14 14:19:44,上海复欣物业管理发展有限公司,丁兰弟(男),18917700072,3447612.00
排水管道专项检测的合同公告,2025-03-14 14:17:02,上海堃灿科技工程有限公司,王辉(男),021-55218961,790000.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-14 14:15:23,上海圣裕办公设备有限公司,谭天应(男),02167103257,2480.00
东馆物业管理服务（2025）公告,2025-03-14 14:09:21,上海陆家嘴物业管理有限公司,蔡宏图(男),021-64455555,18701341.03
关于打印/复印纸的框架协议合同公告,2025-03-14 14:06:27,上海涵誉办公用品有限公司,秦国超(男),17321038375,720.00
关于会计审计的框架协议合同（上海市青少年发展基金会法定代表人离任经济责任审计）公告,2025-03-14 13:53:06,上海浦江会计师事务所（普通合伙）,桂标(男),021-61690026,18000.00
关于上海工程技术大学长宁校区新学生公寓出租资产评估服务的框架协议合同公告,2025-03-14 13:39:57,上海信达资产评估有限公司,韩世新(男),021-56164364,40000.00
关于打印/复印纸的框架协议合同公告,2025-03-14 13:38:05,上海晨光科力普办公用品有限公司,陈湖文(男),18917701521,3988.20
关于笔记本电脑的框架协议合同公告,2025-03-14 13:10:56,上海港讯电子科技有限公司,李勇勇(男),02167103257,11000.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-14 13:07:48,上海众晟实业有限公司,胡宗太(男),13918017899,3800.00
2025年产品质量监督抽查（视频监控设备、电子门锁和智能手表、显示器和服务器、地面清洁电器、新能源汽车交流充电桩、吸尘器、皮肤及毛发护理器具、电动剃须刀和电动理发器）的合同公告,2025-03-14 13:04:34,上海市质量监督检验技术研究院,王虎(男),021-64220000,528500.00
2025年产品质量监督抽查（除湿机、干鞋器、学习机（早教机）、平板电脑、电源适配器、消防产品、防火门、电风扇、真空封口机）的合同公告,2025-03-14 13:01:31,上海市质量监督检验技术研究院,王虎(男),021-64220000,345000.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-14 12:57:59,上海邦邻智能信息技术发展有限公司,檀丽娟(女),021-62967652,1299.00
关于笔记本电脑的框架协议合同公告,2025-03-14 12:56:48,上海邦邻智能信息技术发展有限公司,檀丽娟(女),021-62967652,7930.00
上海市第三社会福利院物业管理服务公告,2025-03-14 12:48:53,上海爱心物业有限公司,王春根(男),021-36213332,6672617.00
保安经费的合同公告,2025-03-14 12:11:56,上海市卢安保安服务有限公司,蔡茜琼(女),13917908556,2544300.00
上海图书馆(上海科学技术情报研究所)2024年度财政报表审计公告,2025-03-14 11:59:38,上海诚汇会计师事务所有限公司,张德华(男),02164455555,30000.00
2024年度财务收支及内部控制专项审计合同公告,2025-03-14 11:56:49,上海诚汇会计师事务所有限公司,张德华(男),02164455555,110000.00
关于笔记本电脑的框架协议合同公告,2025-03-14 11:54:57,上海伦伟实业有限公司,朱莉兰(女),021-64322920,8650.00
关于其他印刷服务的框架协议合同公告,2025-03-14 11:49:15,上海求知印刷厂,黄菊扉(女),021-68915808,338175.00
上海市公共卫生临床中心多功能大屏公告,2025-03-14 11:47:28,静雨实业（上海）股份有限公司,张训(男),021-37990333,1341958.00
关于打印/复印纸的框架协议合同公告,2025-03-14 11:32:33,上海兴诚办公用品有限公司,周美兴(男),13671501478,26200.00
2025年产品质量监督抽查（乐器、学生用品（胶黏剂和美术用品）、玩具（木制玩具）、玩具（纸制玩具）、学生用品（涂改制品）、学生用品（笔））的合同公告,2025-03-14 11:32:29,深圳市英柏检测技术有限公司,孔蕾(女),021-64220000,168000.00
关于《上海市孕产妇健康手册》印刷服务的框架协议合同公告,2025-03-14 11:17:01,上海昌鑫龙印务有限公司,陈昌龙(男),021-32576339,176000.00
关于会计审计的框架协议合同公告,2025-03-14 10:53:07,上海枫雅会计师事务所（普通合伙）,丁勤勤(女),02167103257,47800.00
上海市职业能力考试院试卷印刷服务项目公告,2025-03-14 10:53:00,上海密特印制有限公司,江伟庆(男),021-61969067,2193053.00
关于碎纸机的框架协议合同公告,2025-03-14 10:52:51,上海智嵘信息技术有限公司,陈艳(女),18917701521,5877.00
关于台式整机的框架协议合同公告,2025-03-14 10:45:28,上海梓岳信息技术有限公司,蔡晓丹(男),18001672952,35100.00
关于笔记本电脑的框架协议合同公告,2025-03-14 10:44:49,上海梓岳信息技术有限公司,蔡晓丹(男),18001672952,39960.00
上海科技大学硬X射线自由电子激光装置-束配段波纹管的合同公告,2025-03-14 10:43:44,安徽华东光电技术研究所有限公司,贺兆昌(男),021-20302756,1518180.00
关于其他印刷服务的框架协议合同公告,2025-03-14 10:38:54,上海邦达敏奕印务有限公司,施奕(男),021-34198055,142500.00
关于其他印刷服务的框架协议合同公告,2025-03-14 10:36:27,上海邦达敏奕印务有限公司,施奕(男),021-34198055,138600.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-14 10:34:47,上海理惠办公设备有限公司,宣杏仙(女),18917701521,15000.00
关于复印机的框架协议合同公告,2025-03-14 10:30:55,上海智嵘信息技术有限公司,陈艳(女),18917701521,50000.00
机场地区违章车辆牵引费、施救费、驻场费的合同公告,2025-03-14 10:24:44,上海拯救汽车服务有限公司,杨飞龙(男),13817005612,1379500.00
食堂运营服务的合同公告,2025-03-14 10:24:34,上海学校餐饮服务有限公司,丰帆(女),13564301760,2276000.00
餐饮管理委托服务的合同公告,2025-03-14 10:23:42,上海粤珍小厨餐饮管理股份有限公司,王宏华(男),021-26078989,2531534.40
关于物业管理服务的框架协议合同公告,2025-03-14 10:23:20,上海上勤物业管理有限公司,周晓斌(男),021-54039399,120000.00
2025年黄浦江航道水深监测项目的合同公告,2025-03-14 10:22:53,上海达华测绘科技有限公司,杨志(男),021-62321164,2298461.83
网上阅卷技术服务的合同公告,2025-03-14 10:20:25,北京世纪互联软件开发有限公司,逯玉锁(男),021-61969067,893478.00
上海体育政务微信日常运营及活动策划组织的合同公告,2025-03-14 10:20:14,上海新民传媒有限公司,杜旻(男),13818543975,1096000.00
关于打印/复印纸的框架协议合同公告,2025-03-14 10:01:25,上海皓建纸业有限公司,何浩(男),13774332711,43996.50
关于物业管理服务的框架协议合同公告,2025-03-14 10:01:00,上海勤颐生态园林工程有限公司,郁红生(男),13671859899,492100.00
关于会计审计的框架协议合同公告,2025-03-14 09:53:05,上海威衡会计师事务所（特殊普通合伙）,孙丘(男),021-56034246,7000.00
餐饮服务费的合同公告,2025-03-14 09:43:27,盐城龙运餐饮管理服务有限公司,范金龙(男),18017186872,1030000.00
关于其他印刷服务的框架协议合同（《出监教育工作手册》）公告,2025-03-14 09:41:56,上海翰林印刷有限公司,孙二虎(男),18017181603,9486.00
三个院区绿化及水体养护管理服务费公告,2025-03-14 09:41:16,上海奕叶绿化工程有限公司,李建忠(男),021-69069966,2181386.67
关于报纸类印刷服务的框架协议合同公告,2025-03-14 09:34:34,上海界龙中报印务有限公司,任端正(男),13611841972,49170.00
关于互联网信息服务的框架协议合同公告,2025-03-14 09:20:35,赛尔网络有限公司,吴建平(男),021-69977859,360000.00
关于打印/复印纸的框架协议合同公告,2025-03-14 08:48:38,君长数码科技（上海）有限公司,毛志丹(男),021-38223209,2520.00
关于服务器/Server的框架协议合同公告,2025-03-13 19:04:00,上海风虎信息技术有限公司,戴林珍(女),18310038099,66900.00
关于复印机的框架协议合同公告,2025-03-13 18:33:00,上海宏紫信息科技有限公司,唐琼(女),15000860507,23000.00
关于笔记本电脑的框架协议合同公告,2025-03-13 18:29:29,上海勤寅数码科技有限公司,李鹏(男),021-61470882,9830.00
关于笔记本电脑的框架协议合同公告,2025-03-13 18:27:31,上海勤寅数码科技有限公司,李鹏(男),021-61470882,14900.00
关于显示器的框架协议合同公告,2025-03-13 18:23:45,上海勤寅数码科技有限公司,李鹏(男),021-61470882,4290.00
关于显示器的框架协议合同公告,2025-03-13 18:20:18,上海勤寅数码科技有限公司,李鹏(男),021-61470882,2250.00
关于碎纸机的框架协议合同公告,2025-03-13 18:18:02,上海勤寅数码科技有限公司,李鹏(男),021-61470882,998.00
关于会计审计的框架协议合同公告,2025-03-13 18:15:03,上海琳方会计师事务所有限公司,方伊峰(男),021-63846590,15000.00
关于台式整机的框架协议合同公告,2025-03-13 18:12:06,上海久至臻光电科技有限公司,唐兹豪(男),15121119728,5850.00
仪式教育仪仗队建设的合同公告,2025-03-13 17:40:05,钢铁之翼（上海）信息科技有限公司,赵嘉铭(男),18850111111,2992500.00
关于资产评估服务的框架协议合同公告,2025-03-13 17:12:15,上海三联资产评估有限公司,尹丽娜(女),021-55958663,9000.00
关于电梯的框架协议合同公告,2025-03-13 16:55:43,上海三菱电梯有限公司,万忠培(男),021-67131662,609450.00
关于台式计算机采购（一）的框架协议合同公告,2025-03-13 16:54:41,上海耒石网络科技有限公司,蒋光磊(男),18019703067,232000.00
关于台式整机的框架协议合同公告,2025-03-13 16:46:35,上海静俭科贸有限公司,于宙(男),17701819139,64300.00
关于打印/复印纸的框架协议合同公告,2025-03-13 16:39:40,诚和致远科技集团有限公司,马会峰(男),15800518732,6165.00
关于打印/复印纸的框架协议合同公告,2025-03-13 16:38:40,上海中飞办公设备有限公司,许大山(男),021-54325166,5860.00
2025年产品质量监督抽查（成品油和车用尿素快速检测、汽油清净剂和发动机机油、建筑用玻璃、建筑材料、过滤式消防自救呼吸器、消防应急灯具和火灾报警产品）的合同公告,2025-03-13 16:37:17,江苏省产品质量监督检验研究院,邹洁(女),021-64220000,193500.00
上海市市场监督管理局信息应用研究中心档案资料收集整理项目的合同公告,2025-03-13 16:29:38,上海兰台信息技术有限公司,陈寒(女),021-64181115,1196750.00
关于打印/复印纸的框架协议合同公告,2025-03-13 16:21:33,诚和致远科技集团有限公司,马会峰(男),13501815753,6650.00
关于打印/复印纸的框架协议合同公告,2025-03-13 16:06:00,上海政采数码技术有限公司,章思虹(女),18939854005,7200.00
关于台式整机的框架协议合同公告,2025-03-13 15:51:41,上海仪电鑫森科技发展有限公司,夏军(男),18917616028,157500.00
关于笔记本电脑的框架协议合同公告,2025-03-13 15:51:02,上海仪电鑫森科技发展有限公司,夏军(男),18917616028,54400.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-13 15:42:54,上海肃诚办公设备有限公司,王震华(男),13917114571,7470.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-13 15:38:27,上海肃诚办公设备有限公司,王震华(男),13917114571,3990.00
关于打印/复印纸的框架协议合同公告,2025-03-13 15:36:08,上海优启办公设备有限公司,王震宇(男),13817156627,2983.50
上海动物园2025年-2027年度绿化养护类工作-植物养护、花卉布置展示、零星损坏绿化补充及笼舍丰容、防汛防台项目的合同公告,2025-03-13 15:28:50,上海共赏园林绿化有限公司,周玮(男),13564633612,9212983.94
上海动物园2025年-2027年度绿地保洁服务项目的合同公告,2025-03-13 15:26:59,上海共赏园林绿化有限公司,周玮(男),13564633612,5149114.50
关于笔记本电脑的框架协议合同公告,2025-03-13 15:26:53,上海政服贸易有限公司,何风英(女),18621634588,37880.00
关于打印/复印纸的框架协议合同公告,2025-03-13 15:12:52,上海皓建纸业有限公司,何浩(男),13341935817,20092.50
关于笔记本电脑的框架协议合同公告,2025-03-13 15:12:29,上海政采数码技术有限公司,章思虹(女),18939854005,18120.00
关于打印/复印纸的框架协议合同公告,2025-03-13 15:08:56,上海全优企业服务有限公司,陆红(女),021-57811495,5998.50
关于互联网信息服务的框架协议合同公告,2025-03-13 15:08:34,中国电信股份有限公司上海分公司,龚勃(男),02158395328,787992.00
上海开放大学11号楼宿舍楼维修工程施工公告,2025-03-13 15:08:04,上海瑞昆建设股份有限公司,宫光成(男),15021796068,6665409.00
关于打印/复印纸的框架协议合同公告,2025-03-13 15:05:07,上海藏谷纸业有限公司,冯立国(男),021-58462025,140.00
全面实验动物监测系统的合同公告,2025-03-13 14:59:40,赛尔网络有限公司,吴建平(男),13774469488,3004430.00
快速高灵敏激光扫描共聚焦显微镜的合同公告,2025-03-13 14:54:13,建发(上海)有限公司,林茂(男),18616527755,4897046.00
关于台式整机的框架协议合同公告,2025-03-13 14:54:07,上海昌谷实业有限公司,张秀琴(女),13601661851,31000.00
关于《上海市母子健康手册》印刷服务的框架协议合同公告,2025-03-13 14:47:23,上海昌鑫龙印务有限公司,陈昌龙(男),021-32576339,475000.00
